id,mapping_id:id,parent_id:id,sequence,name,source,value,format,condition_domain,condition,repeat_provider,is_list,batch_detail
wsfex_cae_CanMisMonExt,wsfex_cae_request,wsfex_cae_Cmp,150,CanMisMonExt,field,l10n_ar_fiscal_payment_foreign_currency,str,,record.currency_id.l10n_ar_afip_code != 'PES' and record.l10n_latam_document_type_id.code == '19',,,
wsfex_cae_Obs_comerciales,wsfex_cae_request,wsfex_cae_Cmp,160,Obs_comerciales,field,invoice_payment_term_id.name,str,,,,,
wsfex_cae_Imp_total,wsfex_cae_request,wsfex_cae_Cmp,170,Imp_total,field,amount_total,float2,,,,,
wsfex_cae_Obs,wsfex_cae_request,wsfex_cae_Cmp,180,Obs,provider,narration_text,str,,,,,
wsfex_cae_Forma_pago,wsfex_cae_request,wsfex_cae_Cmp,190,Forma_pago,field,invoice_payment_term_id.name,str,,,,,
wsfex_cae_Incoterms,wsfex_cae_request,wsfex_cae_Cmp,200,Incoterms,field,invoice_incoterm_id.code,str,,,,,
wsfex_cae_Incoterms_Ds,wsfex_cae_request,wsfex_cae_Cmp,210,Incoterms_Ds,provider,incoterm_description,str,,,,,
wsfex_cae_Idioma,wsfex_cae_request,wsfex_cae_Cmp,220,Idioma_cbte,fixed,1,int,,,,,
wsfex_cae_Fecha_pago,wsfex_cae_request,wsfex_cae_Cmp,230,Fecha_pago,provider,export_payment_date,date,,,,,
wsfex_cae_Items,wsfex_cae_request,wsfex_cae_Cmp,240,Items,child,,,,,,,
wsfex_cae_Item,wsfex_cae_request,wsfex_cae_Items,10,Item,child,,,,,line_items,,
wsfex_item_codigo,wsfex_cae_request,wsfex_cae_Item,10,Pro_codigo,field,product_code,str,,,,,
wsfex_item_ds,wsfex_cae_request,wsfex_cae_Item,20,Pro_ds,field,description,str,,,,,
wsfex_item_qty,wsfex_cae_request,wsfex_cae_Item,30,Pro_qty,field,quantity,str,,,,,
wsfex_item_umed,wsfex_cae_request,wsfex_cae_Item,40,Pro_umed,field,uom_code,str,,,,,
wsfex_item_precio,wsfex_cae_request,wsfex_cae_Item,50,Pro_precio_uni,field,unit_price,str,,,,,
wsfex_item_bonif,wsfex_cae_request,wsfex_cae_Item,60,Pro_bonificacion,field,bonus,float2,,,,,
wsfex_item_total,wsfex_cae_request,wsfex_cae_Item,70,Pro_total_item,field,total_excluded,float2,,,,,
wsfex_cae_Cmps_asoc,wsfex_cae_request,wsfex_cae_Cmp,250,Cmps_asoc,child,,,,,,,
wsfex_cae_Cmp_asoc,wsfex_cae_request,wsfex_cae_Cmps_asoc,10,Cmp_asoc,child,,,,,related_invoices,,
wsfex_asoc_tipo,wsfex_cae_request,wsfex_cae_Cmp_asoc,10,Cbte_tipo,field,Tipo,int,,,,,
wsfex_asoc_pto_vta,wsfex_cae_request,wsfex_cae_Cmp_asoc,20,Cbte_punto_vta,field,PtoVta,int,,,,,
wsfex_asoc_nro,wsfex_cae_request,wsfex_cae_Cmp_asoc,30,Cbte_nro,field,Nro,int,,,,,
wsfex_asoc_cuit,wsfex_cae_request,wsfex_cae_Cmp_asoc,40,Cbte_cuit,field,Cuit,str,,,,,
wsfex_res_auth_mode,wsfex_cae_response,,10,l10n_ar_fiscal_auth_mode,fixed,CAE,str,,,,,
wsfex_res_auth_code,wsfex_cae_response,,20,l10n_ar_fiscal_auth_code,field,FEXResultAuth.Cae,str,,,,,
wsfex_res_auth_due,wsfex_cae_response,,30,l10n_ar_fiscal_auth_code_due,field,FEXResultAuth.Fch_venc_Cae,date_in,,,,,
wsfex_res_result,wsfex_cae_response,,40,l10n_ar_fiscal_result,field,FEXResultAuth.Resultado,str,,,,,
wsbfe_last_Tipo_cbte,wsbfe_last_invoice,,10,Tipo_cbte,extra,document_type_code,int,,,,,
wsbfe_last_Pto_venta,wsbfe_last_invoice,,20,Pto_venta,field,l10n_ar_afip_pos_number,int,,,,,
wsbfe_lastres_number,wsbfe_last_invoice_response,,10,number,field,BFEResult_LastCMP.Cbte_nro,int,,,,,
wsbfe_lastid_number,wsbfe_last_id_response,,10,number,field,BFEResultGet.Id,int,,,,,
wsbfe_cae_Cmp,wsbfe_cae_request,,10,Cmp,child,,,,,,,
wsbfe_cae_Id,wsbfe_cae_request,wsbfe_cae_Cmp,10,Id,provider,request_id,int,,,,,
wsbfe_cae_Tipo_doc,wsbfe_cae_request,wsbfe_cae_Cmp,20,Tipo_doc,provider,document_code,int,,,,,
wsbfe_cae_Nro_doc,wsbfe_cae_request,wsbfe_cae_Cmp,30,Nro_doc,provider,document_number,int,,,,,
wsbfe_cae_Zona,wsbfe_cae_request,wsbfe_cae_Cmp,40,Zona,fixed,1,int,,,,,
wsbfe_cae_Tipo_cbte,wsbfe_cae_request,wsbfe_cae_Cmp,50,Tipo_cbte,field,l10n_latam_document_type_id.code,int,,,,,
wsbfe_cae_Punto_vta,wsbfe_cae_request,wsbfe_cae_Cmp,60,Punto_vta,field,journal_id.l10n_ar_afip_pos_number,int,,,,,
wsbfe_cae_Cbte_nro,wsbfe_cae_request,wsbfe_cae_Cmp,70,Cbte_nro,provider,invoice_number,int,,,,,
wsbfe_cae_Imp_total,wsbfe_cae_request,wsbfe_cae_Cmp,80,Imp_total,field,amount_total,float2,,,,,
wsbfe_cae_Imp_tot_conc,wsbfe_cae_request,wsbfe_cae_Cmp,90,Imp_tot_conc,provider,amounts.vat_untaxed_base_amount,float2,,,,,
wsbfe_cae_Imp_neto,wsbfe_cae_request,wsbfe_cae_Cmp,100,Imp_neto,provider,amounts.vat_taxable_amount,float2,,,,,
wsbfe_cae_Impto_liq,wsbfe_cae_request,wsbfe_cae_Cmp,110,Impto_liq,provider,amounts.vat_amount,float2,,,,,
wsbfe_cae_Impto_liq_rni,wsbfe_cae_request,wsbfe_cae_Cmp,120,Impto_liq_rni,fixed,0,float2,,,,,
wsbfe_cae_Imp_op_ex,wsbfe_cae_request,wsbfe_cae_Cmp,130,Imp_op_ex,provider,amounts.vat_exempt_base_amount,float2,,,,,
wsbfe_cae_Imp_perc,wsbfe_cae_request,wsbfe_cae_Cmp,140,Imp_perc,provider,perceptions_amount,float2,,,,,
wsbfe_cae_Imp_iibb,wsbfe_cae_request,wsbfe_cae_Cmp,150,Imp_iibb,provider,amounts.iibb_perc_amount,float2,,,,,
wsbfe_cae_Imp_perc_mun,wsbfe_cae_request,wsbfe_cae_Cmp,160,Imp_perc_mun,provider,amounts.mun_perc_amount,float2,,,,,
wsbfe_cae_Imp_internos,wsbfe_cae_request,wsbfe_cae_Cmp,170,Imp_internos,provider,internal_taxes_amount,float2,,,,,
wsbfe_cae_Imp_moneda_Id,wsbfe_cae_request,wsbfe_cae_Cmp,180,Imp_moneda_Id,field,currency_id.l10n_ar_afip_code,str,,,,,
wsbfe_cae_Imp_moneda_ctz,wsbfe_cae_request,wsbfe_cae_Cmp,190,Imp_moneda_ctz,provider,currency_rate,float6,,,,,
wsbfe_cae_Fecha_cbte,wsbfe_cae_request,wsbfe_cae_Cmp,200,Fecha_cbte,field,invoice_date,date,,,,,
wsbfe_cae_CondicionIVA,wsbfe_cae_request,wsbfe_cae_Cmp,210,CondicionIVAReceptorId,field,partner_id.l10n_ar_afip_responsibility_type_id.code,int,,,,,
wsbfe_cae_CanMisMonExt,wsbfe_cae_request,wsbfe_cae_Cmp,220,CanMisMonExt,field,l10n_ar_fiscal_payment_foreign_currency,str,,record.currency_id.l10n_ar_afip_code != 'PES',,,
wsbfe_cae_Items,wsbfe_cae_request,wsbfe_cae_Cmp,230,Items,child,,,,,,,
wsbfe_cae_Item,wsbfe_cae_request,wsbfe_cae_Items,10,Item,child,,,,,line_items,,
wsbfe_item_ncm,wsbfe_cae_request,wsbfe_cae_Item,10,Pro_codigo_ncm,field,ncm_code,str,,,,,
wsbfe_item_ds,wsbfe_cae_request,wsbfe_cae_Item,20,Pro_ds,field,description,str,,,,,
wsbfe_item_qty,wsbfe_cae_request,wsbfe_cae_Item,30,Pro_qty,field,quantity,str,,,,,
wsbfe_item_umed,wsbfe_cae_request,wsbfe_cae_Item,40,Pro_umed,field,uom_code,str,,,,,
wsbfe_item_precio,wsbfe_cae_request,wsbfe_cae_Item,50,Pro_precio_uni,field,unit_price,str,,,,,
wsbfe_item_bonif,wsbfe_cae_request,wsbfe_cae_Item,60,Imp_bonif,field,bonus,float2,,,,,
wsbfe_item_total,wsbfe_cae_request,wsbfe_cae_Item,70,Imp_total,field,total_included,float2,,,,,
wsbfe_item_iva,wsbfe_cae_request,wsbfe_cae_Item,80,Iva_id,field,vat_code,int,,,,,
wsbfe_cae_CbtesAsoc,wsbfe_cae_request,wsbfe_cae_Cmp,240,CbtesAsoc,child,,,,,,,
wsbfe_cae_CbteAsoc,wsbfe_cae_request,wsbfe_cae_CbtesAsoc,10,CbteAsoc,child,,,,,related_invoices,,
wsbfe_asoc_tipo,wsbfe_cae_request,wsbfe_cae_CbteAsoc,10,Tipo_cbte,field,Tipo,int,,,,,
wsbfe_asoc_pto_vta,wsbfe_cae_request,wsbfe_cae_CbteAsoc,20,Punto_vta,field,PtoVta,int,,,,,
wsbfe_asoc_nro,wsbfe_cae_request,wsbfe_cae_CbteAsoc,30,Cbte_nro,field,Nro,int,,,,,
wsbfe_res_auth_mode,wsbfe_cae_response,,10,l10n_ar_fiscal_auth_mode,fixed,CAE,str,,,,,
wsbfe_res_auth_code,wsbfe_cae_response,,20,l10n_ar_fiscal_auth_code,field,BFEResultAuth.Cae,str,,,,,
wsbfe_res_auth_due,wsbfe_cae_response,,30,l10n_ar_fiscal_auth_code_due,field,BFEResultAuth.Fch_venc_Cae,date_in,,,,,
wsbfe_res_result,wsbfe_cae_response,,40,l10n_ar_fiscal_result,field,BFEResultAuth.Resultado,str,,,,,
